1,-63,1539686060
1,-66,1539686060
3,-64,1539686063
4,-73,1539686063
4,-75,1539686063
3,-61,1539686064
1,-68,1539686064
2,-90,1539686064
3,-64,1539686066
4,-74,1539686066
1,-61,1539686067
3,-63,1539686068
1,-68,1539686069
3,-81,1539686069
3,-65,1539686070
4,-75,1539686070
1,-61,1539686074
3,-64,1539686074
4,-73,1539686074
3,-64,1539686075
1,-68,1539686075
1,-67,1539686076
4,-74,1539686076
3,-62,1539686079
3,-74,1539686079
2,-73,1539686080
4,-74,1539686080
3,-76,1539686080
1,-65,1539686081
1,-64,1539686082
1,-66,1539686083
3,-63,1539686084
1,-63,1539686085
4,-72,1539686085
3,-62,1539686088
2,-68,1539686088
4,-73,1539686088
3,-79,1539686088
1,-64,1539686089
2,-67,1539686090
4,-83,1539686090
2,-67,1539686091
3,-65,1539686092
3,-63,1539686095
4,-74,1539686095
1,-62,1539686096
1,-65,1539686098
3,-65,1539686098
1,-66,1539686098
3,-75,1539686098
2,-76,1539686098
3,-47,1539686099
1,-65,1539686099
1,-51,1539686101
1,-66,1539686102
1,-67,1539686102
1,-61,1539686103
4,-72,1539686106
1,-62,1539686107
3,-63,1539686107
1,-54,1539686108
3,-62,1539686108
3,-79,1539686108
3,-62,1539686111
4,-75,1539686111
3,-63,1539686112
1,-64,1539686112
1,-66,1539686112
2,-82,1539686112
1,-68,1539686113
3,-82,1539686113
3,-64,1539686114
4,-74,1539686114
2,-73,1539686115
1,-61,1539686116
2,-69,1539686116
3,-76,1539686116
3,-62,1539686117
1,-65,1539686117
1,-67,1539686118
2,-77,1539686118
4,-79,1539686118
3,-63,1539686121
3,-64,1539686121
2,-74,1539686121
4,-75,1539686121
3,-62,1539686122
1,-67,1539686122
1,-65,1539686124
2,-67,1539686124
3,-78,1539686124
1,-67,1539686125
1,-68,1539686128
2,-70,1539686128
1,-51,1539686130
4,-60,1539686130
1,-65,1539686131
2,-69,1539686131
3,-62,1539686132
4,-62,1539686132
2,-73,1539686132
3,-62,1539686133
2,-69,1539686133
3,-75,1539686133
2,-88,1539686133
1,-64,1539686134
4,-77,1539686134
4,-78,1539686135
4,-79,1539686135
3,-61,1539686136
1,-65,1539686137
2,-70,1539686137
3,-76,1539686137
3,-77,1539686137
4,-78,1539686137
2,-86,1539686137
3,-61,1539686139
1,-66,1539686139
2,-83,1539686139
1,-66,1539686140
1,-56,1539686141
3,-62,1539686143
2,-81,1539686143
1,-52,1539686145
1,-65,1539686145
3,-63,1539686148
3,-64,1539686148
2,-79,1539686148
3,-62,1539686156
4,-72,1539686156
2,-73,1539686156
4,-73,1539686156
1,-51,1539686158
1,-64,1539686158
4,-72,1539686158
3,-62,1539686159
3,-66,1539686159
1,-68,1539686159
2,-69,1539686161
3,-70,1539686161
