-105,2,0,0,0,0
-104,1,0,0,0,0
-103,1,0,0,0,0
-102,10,0,0,0,0
-101,19,0,0,1,0
-100,31,0,0,6,0
-99,55,0,0,7,1
-98,82,0,1,14,0
-97,113,0,1,25,0
-96,122,0,0,48,2
-95,96,0,3,95,0
-94,57,0,1,128,0
-93,29,0,2,139,2
-92,21,0,5,104,3
-91,17,0,5,106,4
-90,17,0,10,128,9
-89,26,0,19,165,11
-88,18,0,20,173,25
-87,23,0,26,267,21
-86,35,0,44,406,41
-85,36,0,63,504,73
-84,37,1,104,380,90
-83,49,1,209,429,133
-82,48,4,281,501,156
-81,34,2,306,498,189
-80,21,0,251,495,188
-79,21,2,273,291,199
-78,7,7,339,129,217
-77,6,10,377,109,269
-76,2,12,216,132,282
-75,1,33,238,111,432
-74,0,49,327,131,420
-73,0,123,291,143,373
-72,0,160,229,165,385
-71,0,218,294,148,383
-70,0,239,218,134,500
-69,0,220,132,212,625
-68,0,234,139,212,555
-67,0,277,148,124,448
-66,0,286,68,98,304
-65,0,336,54,107,171
-64,0,472,99,54,175
-63,0,335,157,17,392
-62,0,259,136,3,195
-61,0,127,140,1,199
-60,0,142,164,0,254
-59,0,497,119,0,371
-58,0,303,55,0,403
-57,0,358,19,0,129
-56,0,183,19,0,137
-55,0,105,51,0,164
-54,0,126,91,0,269
-53,0,149,12,0,378
-52,0,166,1,0,270
-51,0,66,0,0,139
-50,0,123,0,0,52
-49,0,159,0,0,89
-48,0,125,0,0,161
-47,0,143,0,0,30
-46,0,121,0,0,21
-45,0,133,0,0,120
-44,0,116,0,0,104
-43,0,146,0,0,5
-42,0,183,0,0,1
-41,0,21,0,0,0
-40,0,0,0,0,0
-39,0,0,0,0,0
-38,0,0,0,0,0
-37,0,0,0,0,0
-36,0,0,0,0,0
-35,0,0,0,0,0
-34,0,0,0,0,0
-33,0,0,0,0,0
-32,0,0,0,0,0
-31,0,0,0,0,0
-30,0,0,0,0,0
-29,0,0,0,0,0
-28,0,0,0,0,0
-27,0,0,0,0,0
-26,0,0,0,0,0
